experiment,results,composition
"[0, 0]",4.0,homogeneous
"[0, 0]",11.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",9.0,homogeneous
"[0, 0]",5.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",7.0,homogeneous
"[0, 0]",8.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",5.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",12.0,homogeneous
"[0, 0]",6.0,homogeneous
"[0, 0]",5.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",5.0,homogeneous
"[0, 0]",5.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",9.0,homogeneous
"[0, 0]",5.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",12.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",6.0,homogeneous
"[0, 0]",6.0,homogeneous
"[0, 0]",7.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",8.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",17.0,homogeneous
"[0, 0]",14.0,homogeneous
"[0, 0]",9.0,homogeneous
"[0, 0]",6.0,homogeneous
"[0, 0]",12.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",9.0,homogeneous
"[0, 0]",15.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",8.0,homogeneous
"[0, 0]",7.0,homogeneous
"[0, 0]",6.0,homogeneous
"[0, 0]",5.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",6.0,homogeneous
"[0, 0]",11.0,homogeneous
"[0, 0]",9.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",9.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",8.0,homogeneous
"[0, 0]",12.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",12.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",14.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",24.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",18.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",6.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",11.0,homogeneous
"[0, 0]",8.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",7.0,homogeneous
"[0, 0]",8.0,homogeneous
"[0, 0]",6.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",7.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",4.0,homogeneous
"[0, 0]",9.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",7.0,homogeneous
"[0, 0]",5.0,homogeneous
"[0, 0]",11.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",7.0,homogeneous
"[0, 0]",3.0,homogeneous
"[0, 0]",2.0,homogeneous
"[0, 0]",12.0,homogeneous
"[0, 0]",5.0,homogeneous
"[0, 0]",7.0,homogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",8.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",7.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",6.0,heterogeneous
"[0, 1]",7.0,heterogeneous
"[0, 1]",7.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",6.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",7.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",6.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",6.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",6.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",13.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",5.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",8.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",3.0,heterogeneous
"[0, 1]",4.0,heterogeneous
"[0, 1]",2.0,heterogeneous
"[0, 1]",7.0,heterogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",17.0,homogeneous
"[0, 0, 0]",10.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",10.0,homogeneous
"[0, 0, 0]",22.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",4.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",13.0,homogeneous
"[0, 0, 0]",26.0,homogeneous
"[0, 0, 0]",22.0,homogeneous
"[0, 0, 0]",7.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",18.0,homogeneous
"[0, 0, 0]",21.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",20.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",14.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",11.0,homogeneous
"[0, 0, 0]",20.0,homogeneous
"[0, 0, 0]",17.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",18.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",29.0,homogeneous
"[0, 0, 0]",10.0,homogeneous
"[0, 0, 0]",18.0,homogeneous
"[0, 0, 0]",4.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",25.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",15.0,homogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",7.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",15.0,homogeneous
"[0, 0, 0]",11.0,homogeneous
"[0, 0, 0]",16.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",42.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",10.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",14.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",28.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",14.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",15.0,homogeneous
"[0, 0, 0]",15.0,homogeneous
"[0, 0, 0]",19.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",21.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",26.0,homogeneous
"[0, 0, 0]",29.0,homogeneous
"[0, 0, 0]",35.0,homogeneous
"[0, 0, 0]",11.0,homogeneous
"[0, 0, 0]",12.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",9.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",25.0,homogeneous
"[0, 0, 0]",26.0,homogeneous
"[0, 0, 0]",4.0,homogeneous
"[0, 0, 0]",3.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",13.0,homogeneous
"[0, 0, 0]",8.0,homogeneous
"[0, 0, 0]",25.0,homogeneous
"[0, 0, 0]",5.0,homogeneous
"[0, 0, 0]",14.0,homogeneous
"[0, 0, 0]",6.0,homogeneous
"[0, 0, 0]",24.0,homogeneous
"[0, 0, 0]",7.0,homogeneous
"[0, 0, 0]",31.0,homogeneous
"[0, 0, 0]",22.0,homogeneous
